code,source_code,industry_code,in_date,end_exclusive,is_pesticide,out_date
000407,000407,220303,2014-01-01,2017-12-15,True,2017-12-14
000525,000525,220303->220803,1993-10-28,,True,
000553,000553,220303->220803,1993-12-03,,True,
000732,000732,220303,1997-07-04,2011-01-10,True,2011-01-09
000950,000950,220303,1999-09-16,2007-07-02,True,2007-07-01
001231,001231,220803,2022-07-15,,True,
002004,002004,220303,2012-01-02,2021-07-30,True,2021-07-29
002018,002018,220303,2004-07-12,2014-01-01,True,2013-12-31
002215,002215,220303->220803,2008-01-02,2025-05-09,True,2025-05-08
002250,002250,220303->220803,2008-01-28,,True,
002258,002258,220303->220803,2008-01-18,,True,
002391,002391,220303->220803,2010-01-29,,True,
002411,002411,220303,2010-01-12,2016-04-14,True,2016-04-13
002496,002496,220303->220803,2010-01-27,,True,
002513,002513,220303->220803,2010-01-22,,True,
002734,002734,220303->220803,2015-01-15,,True,
002749,002749,220303->220803,2015-01-16,,True,
002942,002942,220303->220803,2018-10-30,,True,
003042,003042,220303->220803,2021-03-20,,True,
300261,300261,220303->220803,2017-06-29,,True,
300575,300575,220303->220803,2016-12-11,,True,
300796,300796,220303->220803,2019-10-11,,True,
300804,300804,220803,2023-06-09,,True,
301035,301035,220303->220803,2021-07-12,,True,
301665,301665,220803,2025-03-21,,True,
600181,600181,220303,1998-09-28,2007-07-02,True,2007-07-01
600389,600389,220303->220803,2001-01-10,,True,
600486,600486,220303->220803,2002-04-01,,True,
600500,600500,220303,2014-01-01,2018-07-13,True,2018-07-12
600532,600532,220303,2002-10-31,2011-01-10,True,2011-01-09
600538,600538,220303,2012-01-02,2017-06-29,True,2017-06-28
600596,600596,220303,2001-08-06,2019-07-24,True,2019-07-23
600596,600596,220803,2023-07-04,,True,
600731,600731,220303->220803,1996-08-02,,True,
600796,600796,220803,2021-07-30,2022-07-29,True,2022-07-28
600803,600803,220303,2011-01-10,2017-06-29,True,2017-06-28
600882,600882,220303,1995-12-06,2011-01-10,True,2011-01-09
603086,603086,220303->220803,2017-05-04,,True,
603360,603360,220303->220803,2017-01-14,,True,
603585,603585,220303->220803,2016-12-01,,True,
603599,603599,220303->220803,2015-01-06,,True,
603639,603639,220303->220803,2016-12-25,,True,
603810,603810,220303->220803,2018-09-18,,True,
603970,603970,220303->220803,2017-11-08,,True,
605033,605033,220803,2021-08-27,,True,
920819,920819,220803,2021-07-30,,True,
920866,920866,220803,2022-12-06,,True,
